scale,HEX
0,#1b0e02
0.010101010101010102,#1e1002
0.020202020202020204,#201203
0.030303030303030304,#221403
0.04040404040404041,#251503
0.050505050505050504,#281604
0.06060606060606061,#2b1805
0.0707070707070707,#2e1906
0.08080808080808081,#321a07
0.09090909090909091,#351b07
0.10101010101010101,#391c08
0.1111111111111111,#3c1d08
0.12121212121212122,#401e08
0.13131313131313133,#441f08
0.1414141414141414,#482007
0.15151515151515152,#4c2007
0.16161616161616163,#502106
0.1717171717171717,#542205
0.18181818181818182,#582205
0.1919191919191919,#5d2204
0.20202020202020202,#622204
0.21212121212121213,#662204
0.2222222222222222,#6a2206
0.23232323232323232,#6f2208
0.24242424242424243,#73220a
0.25252525252525254,#78220c
0.26262626262626265,#7c230e
0.2727272727272727,#802311
0.2828282828282828,#842313
0.29292929292929293,#892315
0.30303030303030304,#8c2419
0.31313131313131315,#90251c
0.32323232323232326,#94261f
0.3333333333333333,#972722
0.3434343434343434,#9b2926
0.35353535353535354,#9e2a29
0.36363636363636365,#a12c2d
0.37373737373737376,#a52e30
0.3838383838383838,#a73034
0.3939393939393939,#aa3337
0.40404040404040403,#ac363a
0.41414141414141414,#af383d
0.42424242424242425,#b13b41
0.43434343434343436,#b33e45
0.4444444444444444,#b54148
0.45454545454545453,#b7444c
0.46464646464646464,#b94750
0.47474747474747475,#bb4b54
0.48484848484848486,#bc4e58
0.494949494949495,#be515c
0.5050505050505051,#bf5560
0.5151515151515151,#c05964
0.5252525252525253,#c15c67
0.5353535353535354,#c1606b
0.5454545454545454,#c2646f
0.5555555555555556,#c26872
0.5656565656565656,#c26c76
0.5757575757575758,#c1707a
0.5858585858585859,#c1747d
0.5959595959595959,#c17880
0.6060606060606061,#c17b83
0.6161616161616161,#c27f86
0.6262626262626263,#c28389
0.6363636363636364,#c2868b
0.6464646464646465,#c28a8e
0.6565656565656566,#c28d91
0.6666666666666666,#c29193
0.6767676767676768,#c29496
0.6868686868686869,#c2989a
0.696969696969697,#c29b9d
0.7070707070707071,#c29ea0
0.7171717171717171,#c3a2a3
0.7272727272727273,#c3a5a6
0.7373737373737373,#c4a8a8
0.7474747474747475,#c4abab
0.7575757575757576,#c5aeae
0.7676767676767676,#c6b1b0
0.7777777777777778,#c7b4b3
0.7878787878787878,#c7b7b6
0.797979797979798,#c8bab8
0.8080808080808081,#c9bdbb
0.8181818181818182,#cac0be
0.8282828282828283,#cbc4c1
0.8383838383838383,#ccc6c3
0.8484848484848485,#cec9c5
0.8585858585858586,#cfccc7
0.8686868686868687,#d0cfc9
0.8787878787878788,#d1d2cb
0.8888888888888888,#d3d5ce
0.898989898989899,#d4d8d0
0.9090909090909091,#d5dbd3
0.9191919191919192,#d5ded6
0.9292929292929293,#d6e2d8
0.9393939393939394,#d7e5db
0.9494949494949495,#d7e8de
0.9595959595959596,#d8ebe0
0.9696969696969697,#d8eee2
0.9797979797979798,#d9f1e5
0.98989898989899,#d9f5e7
1,#daf8e9
