scale,HEX
0,#130147
0.010101010101010102,#130647
0.020202020202020204,#120a48
0.030303030303030304,#120e48
0.04040404040404041,#121248
0.050505050505050504,#131548
0.06060606060606061,#141848
0.0707070707070707,#151a48
0.08080808080808081,#161d48
0.09090909090909091,#172048
0.10101010101010101,#182248
0.1111111111111111,#192449
0.12121212121212122,#192749
0.13131313131313133,#1a294a
0.1414141414141414,#1b2c4b
0.15151515151515152,#1b2e4c
0.16161616161616163,#1c314d
0.1717171717171717,#1d334e
0.18181818181818182,#1e354e
0.1919191919191919,#1f384f
0.20202020202020202,#203a50
0.21212121212121213,#213d51
0.2222222222222222,#213f52
0.23232323232323232,#214253
0.24242424242424243,#204454
0.25252525252525254,#204755
0.26262626262626265,#214955
0.2727272727272727,#224c55
0.2828282828282828,#234e56
0.29292929292929293,#235156
0.30303030303030304,#235357
0.31313131313131315,#225658
0.32323232323232326,#225958
0.3333333333333333,#215b59
0.3434343434343434,#215e59
0.35353535353535354,#206159
0.36363636363636365,#206359
0.37373737373737376,#1f6659
0.3838383838383838,#206959
0.3939393939393939,#216b58
0.40404040404040403,#226e58
0.41414141414141414,#237058
0.42424242424242425,#247357
0.43434343434343436,#257655
0.4444444444444444,#257854
0.45454545454545453,#267b53
0.46464646464646464,#277e51
0.47474747474747475,#29814f
0.48484848484848486,#2a834d
0.494949494949495,#2c864b
0.5050505050505051,#2f8848
0.5151515151515151,#338b46
0.5252525252525253,#388d43
0.5353535353535354,#3c9041
0.5454545454545454,#40923e
0.5555555555555556,#46943a
0.5656565656565656,#4b9737
0.5757575757575758,#509933
0.5858585858585859,#559b30
0.5959595959595959,#5b9d2d
0.6060606060606061,#619f2a
0.6161616161616161,#67a127
0.6262626262626263,#6da324
0.6363636363636364,#74a424
0.6464646464646465,#7ba624
0.6565656565656566,#81a824
0.6666666666666666,#88a923
0.6767676767676768,#8eab25
0.6868686868686869,#95ac26
0.696969696969697,#9bae27
0.7070707070707071,#a1af28
0.7171717171717171,#a7b02c
0.7272727272727273,#aeb230
0.7373737373737373,#b4b333
0.7474747474747475,#bab437
0.7575757575757576,#c0b63d
0.7676767676767676,#c5b743
0.7777777777777778,#cbb94a
0.7878787878787878,#d0ba50
0.797979797979798,#d5bc56
0.8080808080808081,#d9bd5e
0.8181818181818182,#ddbf65
0.8282828282828283,#e1c16b
0.8383838383838383,#e5c372
0.8484848484848485,#e9c57a
0.8585858585858586,#ecc781
0.8686868686868687,#f0c988
0.8787878787878788,#f3cb8f
0.8888888888888888,#f4cd97
0.898989898989899,#f6d09f
0.9090909090909091,#f7d3a7
0.9191919191919192,#f8d6ae
0.9292929292929293,#f9d9b5
0.9393939393939394,#f9dcbc
0.9494949494949495,#fadfc3
0.9595959595959596,#fae2ca
0.9696969696969697,#fbe5d0
0.9797979797979798,#fde7d6
0.98989898989899,#feeadd
1,#ffede3
