scale,HEX
0,#200912
0.010101010101010102,#230b14
0.020202020202020204,#250d16
0.030303030303030304,#280e17
0.04040404040404041,#2b0f19
0.050505050505050504,#2f101a
0.06060606060606061,#32111c
0.0707070707070707,#35121d
0.08080808080808081,#38131f
0.09090909090909091,#3c1420
0.10101010101010101,#3f1522
0.1111111111111111,#431623
0.12121212121212122,#471625
0.13131313131313133,#4a1726
0.1414141414141414,#4e1728
0.15151515151515152,#521829
0.16161616161616163,#56182b
0.1717171717171717,#5a182d
0.18181818181818182,#5e192f
0.1919191919191919,#621930
0.20202020202020202,#661932
0.21212121212121213,#6a1934
0.2222222222222222,#6f1935
0.23232323232323232,#731936
0.24242424242424243,#771937
0.25252525252525254,#7b1938
0.26262626262626265,#7f193a
0.2727272727272727,#83193b
0.2828282828282828,#871a3d
0.29292929292929293,#8b1a3e
0.30303030303030304,#8f1b40
0.31313131313131315,#931c42
0.32323232323232326,#961d44
0.3333333333333333,#9a1e46
0.3434343434343434,#9e1f48
0.35353535353535354,#a1204b
0.36363636363636365,#a5224d
0.37373737373737376,#a82350
0.3838383838383838,#ac2553
0.3939393939393939,#af2756
0.40404040404040403,#b22959
0.41414141414141414,#b52b5b
0.42424242424242425,#b82d5e
0.43434343434343436,#bb3060
0.4444444444444444,#be3362
0.45454545454545453,#c13564
0.46464646464646464,#c33867
0.47474747474747475,#c63c69
0.48484848484848486,#c83f6c
0.494949494949495,#ca426e
0.5050505050505051,#cd4571
0.5151515151515151,#cf4874
0.5252525252525253,#d24b77
0.5353535353535354,#d44d7a
0.5454545454545454,#d7507d
0.5555555555555556,#d95380
0.5656565656565656,#db5683
0.5757575757575758,#dd5986
0.5858585858585859,#df5c8a
0.5959595959595959,#e1608d
0.6060606060606061,#e26390
0.6161616161616161,#e46693
0.6262626262626263,#e66a96
0.6363636363636364,#e66e99
0.6464646464646465,#e7729d
0.6565656565656566,#e776a0
0.6666666666666666,#e87aa3
0.6767676767676768,#e87ea7
0.6868686868686869,#e981aa
0.696969696969697,#ea85ad
0.7070707070707071,#eb88b1
0.7171717171717171,#eb8cb4
0.7272727272727273,#ec90b6
0.7373737373737373,#ec93b9
0.7474747474747475,#ed97bb
0.7575757575757576,#ed9bbe
0.7676767676767676,#ed9fc1
0.7777777777777778,#eda2c4
0.7878787878787878,#eda6c6
0.797979797979798,#eeaac9
0.8080808080808081,#eeadcc
0.8181818181818182,#efb0cf
0.8282828282828283,#efb4d3
0.8383838383838383,#f0b7d5
0.8484848484848485,#f0bbd8
0.8585858585858586,#f1beda
0.8686868686868687,#f1c2dd
0.8787878787878788,#f2c5df
0.8888888888888888,#f2c8e2
0.898989898989899,#f3cce4
0.9090909090909091,#f4cfe7
0.9191919191919192,#f4d2e9
0.9292929292929293,#f5d5eb
0.9393939393939394,#f6d9ee
0.9494949494949495,#f8dcf0
0.9595959595959596,#f9dff2
0.9696969696969697,#fae2f4
0.9797979797979798,#fbe5f7
0.98989898989899,#fde8f9
1,#feebfc
