scale,HEX
0,#01131b
0.010101010101010102,#05151e
0.020202020202020204,#0a1720
0.030303030303030304,#0d1823
0.04040404040404041,#101a26
0.050505050505050504,#131b2a
0.06060606060606061,#151d2d
0.0707070707070707,#181e30
0.08080808080808081,#1a2034
0.09090909090909091,#1d2137
0.10101010101010101,#21223a
0.1111111111111111,#24243d
0.12121212121212122,#272540
0.13131313131313133,#2b2643
0.1414141414141414,#2f2746
0.15151515151515152,#332849
0.16161616161616163,#36294c
0.1717171717171717,#3a2a4e
0.18181818181818182,#3f2b51
0.1919191919191919,#442c53
0.20202020202020202,#482c56
0.21212121212121213,#4d2d58
0.2222222222222222,#532d5b
0.23232323232323232,#582d5d
0.24242424242424243,#5d2d5f
0.25252525252525254,#632d62
0.26262626262626265,#692c63
0.2727272727272727,#6f2b64
0.2828282828282828,#752a66
0.29292929292929293,#7b2967
0.30303030303030304,#812867
0.31313131313131315,#872668
0.32323232323232326,#8d2568
0.3333333333333333,#932368
0.3434343434343434,#982267
0.35353535353535354,#9d2266
0.36363636363636365,#a22165
0.37373737373737376,#a72064
0.3838383838383838,#ac2163
0.3939393939393939,#b02261
0.40404040404040403,#b42360
0.41414141414141414,#b8245e
0.42424242424242425,#bc265d
0.43434343434343436,#c0285b
0.4444444444444444,#c42a5a
0.45454545454545453,#c82b59
0.46464646464646464,#cb2e57
0.47474747474747475,#ce3255
0.48484848484848486,#d13554
0.494949494949495,#d43952
0.5050505050505051,#d73c51
0.5151515151515151,#d93f50
0.5252525252525253,#dc424e
0.5353535353535354,#df464d
0.5454545454545454,#e2494b
0.5555555555555556,#e44d4a
0.5656565656565656,#e65048
0.5757575757575758,#e85447
0.5858585858585859,#eb5745
0.5959595959595959,#ed5b44
0.6060606060606061,#ef5f42
0.6161616161616161,#f16241
0.6262626262626263,#f3663f
0.6363636363636364,#f46a3d
0.6464646464646465,#f66e3c
0.6565656565656566,#f7723a
0.6666666666666666,#f97539
0.6767676767676768,#f97938
0.6868686868686869,#fa7e36
0.696969696969697,#fb8235
0.7070707070707071,#fc8634
0.7171717171717171,#fc8a33
0.7272727272727273,#fd8e32
0.7373737373737373,#fd9231
0.7474747474747475,#fd9630
0.7575757575757576,#fd9b30
0.7676767676767676,#fe9f2f
0.7777777777777778,#fea32f
0.7878787878787878,#fea62e
0.797979797979798,#feaa2e
0.8080808080808081,#feae2f
0.8181818181818182,#feb22f
0.8282828282828283,#feb62f
0.8383838383838383,#feba30
0.8484848484848485,#febe30
0.8585858585858586,#fdc230
0.8686868686868687,#fdc630
0.8787878787878788,#fdca2f
0.8888888888888888,#fdce2e
0.898989898989899,#fcd12d
0.9090909090909091,#fcd52c
0.9191919191919192,#fbd92b
0.9292929292929293,#fadd2a
0.9393939393939394,#f9e12a
0.9494949494949495,#f8e529
0.9595959595959596,#f7e928
0.9696969696969697,#f6ed26
0.9797979797979798,#f4f123
0.98989898989899,#f2f521
1,#f1f91d
